Перезвони мне как можно скорее!;Call me back as soon as possible!
Могу я задать ваш вопрос?;Can I ask your question?
Можете ли вы описать этого человека?;Can you describe this person?
Ты можешь доказать это?;Can you prove it?
Вы можете это починить?;Can you repair it?
Вы можете ездить на велосипеде?;Can you ride a bike?
Можно по буквам?;Can you spell it?
Проверьте это более тщательно!;Check it more thoroughly!
Очистите это место!;Clear this place!
Очистить эту комнату!;Clear this room!
Нажмите на эту ссылку!;Click on that link!
Нажмите на это изображение!;Click on this image!
Закрой окно!;Close the window!
"Не могли бы вы закрыть дверь; пожалуйста?";"Could you close the door; please?"
"Не могли бы вы объяснить это еще раз; пожалуйста?";"Could you explain it one more time; please?"
Он выжил?;Did he survive?
Превзошло ли это ваши ожидания?;Did it exceed your expectations?
Вы закончили это вовремя?;Did you finish it on time?
Вы потеряли ключи?;Did you lose the keys?
Ты проспал?;Did you oversleep?
Вы готовились к этому экзамену?;Did you prepare for this exam?
Вы служили в армии?;Did you serve in the army
Нужно ли нам нанимать новых сотрудников?;Do we need to employ new staff?
Вы восхищаетесь святыми?;Do you admire saints?
Согласен ли ты со мной?;Do you agree with me?
"У вас есть что-либо; подлежащее декларированию?";Do you have anything to declare?
"Вы знаете; кто открыл Америку?";Do you know who discovered America?
Тебе нравится кататься на велосипеде?;Do you like cycling?
Вам нравится танцевать?;Do you like dancing?
Тебе нравится заниматься дайвингом?;Do you like diving?
Ты любишь кататься на лыжах?;Do you like skiing?
"Вы не против; если мы пригласим вас?";Do you mind if we invite you?
"Вы не возражаете; если мы возьмем ваш велосипед?";Do you mind if we take your bike?
Вы не против открыть дверь?;Do you mind opening the door?
Вы не возражаете?;Do you mind?
Ты скучаешь по нему?;Do you miss him?
Ты скучаешь по мне?;Do you miss me?
Вы часто занимаете деньги?;Do you often borrow money?
Вы часто общаетесь онлайн?;Do you often chat online?
Вы часто ездите на велосипеде?;Do you often go cycling?
Вы часто улыбаетесь другим людям?;Do you often smile at other people?
Вы ее узнаете?;Do you recognise her?
Ты куришь?;Do you smoke?
Вы носите ремень?;Do you wear a belt?
Ты носишь очки?;Do you wear glasses?
Ты работаешь или учишься?;Do you work or study?
Британский английский отличается от американского английского?;Does British English differ from American English?
Он заслуживает больше критики или похвалы?;Does he deserve more criticism or more praise?
Он курит?;Does he smoke?
Это стоит слишком дорого?;Does it cost too much?
Работает ли он правильно?;Does it function properly?
Она любит танцевать?;Does she like dancing?
Этот бизнес принадлежит вам?;Does this business belong to you?
Не спорь!;Don't argue!
Не верь ей!;Don't believe her!
Не хвастайся!;Don't boast!
Не путайте эти слова;Don't confuse these words
Не копируйте эти ошибки!;Don't copy these mistakes!
Не критикуй других!;Don't criticise others!
Не мешай ему!;Don't disturb him!
Не беспокой меня!;Don't disturb me!
Не забудьте прикрепить этот файл!;Don't forget to attach this file!
Не забудьте очистить эту комнату!;Don't forget to clear this room!
Не забудьте сохранить этот документ!;Don't forget to save this document!
Не стесняйтесь!;Don't hesitate!
Не унижай других людей;Don't humiliate other people
Не идеализируйте этих людей!;Don't idealise these people!
Не идеализируйте этого человека!;Don't idealise this person!
Не поклоняйся этому актеру!;Don't idolise this actor!
Не игнорируйте это!;Don't ignore it!
Не перебивай меня!;Don't interrupt me!
Не суди других людей;Don't judge other people
Не суди!;Don't judge!
Не смейся над этим!;Don't laugh at it!
Не вводи меня в заблуждение!;Don't mislead me!
Не переоценивай его способности!;Don't overestimate his abilities!
Не переоценивайте важность денег;Don't overestimate the importance of money
Не пауза! Я остановился на несколько секунд;Don't pause! I paused for several seconds
Не хвали меня!;Don't praise me!
Не реагируйте на это!;Don't react to it!
Не грабь меня!;Don't rob me!
Не стреляй!;Don't shoot!
Не кричи!;Don't shout!
Не останавливайся!;Don't stop!
Не бери его с собой!;Don't take him with you!
Не прикасайся к ней!;Don't touch her!
Не трогай это!;Don't touch it!
Не трогай меня!;Don't touch me!
Не пытайтесь подражать этому!;Don't try to imitate it!
Не стоит недооценивать эффективность этого метода!;Don't underestimate the efficiency of this method!
Не стоит недооценивать важность самообразования!;Don't underestimate the importance of self-education!
Не тратьте свои деньги!;Don't waste your money!
Не трать свое время!;Don't waste your time!
Все делают это;Everyone is doing it
Все думают об этом;Everyone is thinking about it
Все зависит от вас;Everything depends on you
Все меняется в наше время;Everything is changing nowadays
Все становится дороже в наши дни;Everything is getting more expensive nowadays
Все кажется очень странным;Everything seems very strange
"Пристегните ремень; не забудьте пристегнуть ремень";Fasten the belt don't forget to fasten the belt
Пристегни ремень!;Fasten the belt!
Не стесняйтесь обратиться ко мне!;Feel free to contact me!
Не стесняйтесь делать это!;Feel free to do it!
Заполнить пробелы;Fill in the gaps
Заполните этот документ!;Fill in this document!
Заполните эту форму!;Fill in this form!
Наконец мне удалось это сделать мне удалось это сделать;"Finally; I succeeded in doing it I managed to do it"
Наконец-то я смог это сделать;"Finally; I was able to do it"
"Прежде всего; нам нужно выявить эту проблему";"First of all; we need to identify this problem"
"Сначала вы можете умножить 33 на 10; а затем добавить 33";"First; you can multiply 33 by 10 and then add 33"
Для получения дополнительной информации проконсультируйтесь с вашим менеджером;For more information consult your manager
"Фрэнк; мне не очень понравилось";"Frank; I didn't really like it"
Дайте мне время переварить эту информацию!;Give me some time to digest this information!
Был ли дождь весь день?;Has it been raining all day?
Урок уже начался?;Has the lesson already begun?
Ваш самолет уже приземлился?;Has your plane already landed?
Вы уже подали заявку на работу?;Have you already applied for a job?
Вы уже прибыли в аэропорт?;Have you already arrived at the airport?
Вы уже рассчитали нашу прибыль?;Have you already calculated our profit?
Вы уже обманули?;Have you already cheated?
Вы уже исправили эту ошибку?;Have you already corrected this mistake?
Вы уже украсили елку?;Have you already decorated a Christmas tree?
Вы уже объяснили это?;Have you already explained it?
Вы уже установили эти программы?;Have you already installed these programs?
Вы уже выучили английский?;Have you already learnt English?
Вы уже подготовились к этому экзамену?;Have you already prepared for this exam?
Вы уже читали это?;Have you already read it?
Вы уже зарегистрированы?;Have you already registered?
Вы уже вернулись домой?;Have you already returned home?
Вы уже пересмотрели все эти уроки?;Have you already revised all these lessons?
Вы уже решили эту проблему?;Have you already solved this problem?
Ты уже думал о своей отставке?;Have you already thought about your retirement?
Вы уже распаковали свою одежду?;Have you already unpacked your clothes?
Ты когда-нибудь был за границей?;Have you ever been abroad?
Вы когда-нибудь были здесь?;Have you ever been here?
Ты когда-нибудь был здесь?;Have you ever been there?
Ты когда-нибудь был в Англии?;Have you ever been to England?
Вы когда-нибудь были в этом месте?;Have you ever been to this place?
Вы когда-нибудь это делали?;Have you ever done it?
Вы когда-нибудь водили машину?;Have you ever driven a car?
Вы когда-нибудь испытывали это чувство?;Have you ever experienced this feeling?
Вы когда-нибудь летали в Соединенные Штаты?;Have you ever flown to the United States?
Вы когда-нибудь ходили туда?;Have you ever gone there?
Вы когда-нибудь слышали это?;Have you ever heard it?
Вы когда-нибудь охотились?;Have you ever hunted?
Вы когда-нибудь представляли это?;Have you ever imagined it?
Вы когда-нибудь вкладывали свои деньги?;Have you ever invested your money?
Вы когда-нибудь читали эту книгу?;Have you ever read this book?
Вы когда-нибудь ездили на лошади?;Have you ever ridden a horse?
Вы когда-нибудь плавали на лодке?;Have you ever sailed on a boat?
Вы когда-нибудь плавали на корабле?;Have you ever sailed on a ship?
Вы когда-нибудь думали об усыновлении ребенка?;Have you ever thought about adopting a child?
Вы когда-нибудь там работали?;Have you ever worked there?
Он посоветовал мне не тратить на это время;He advised me not to spend time on it
Он появился внезапно;He appeared suddenly
Он попросил ее простить его;He asked her to forgive him
Он благословил ее продолжать делать это;He blessed her to continue doing it
Он благословил нас;He blessed us
Он хвастается слишком часто;He boasts too often
Он нарушает правила?;He breaking the rules?
Он вдохнул и выдохнул;He breathed in and then he breathed out
Он нарушил правила;He broke the rules
"Он позвонил мне; когда я переходил улицу";He called me when I was crossing the street
"Он позвонил мне; когда я принимал душ";He called me when I was taking a shower
"Он позвонил мне; когда я смотрел это видео";He called me when I was watching this video
"Он утверждал; что не сделал этого";He claimed that he hadn't done it
"Он утверждал; что не будет жаловаться";He claimed that he wouldn't complain
Он совершил преступление;He committed a crime
"Он убедил меня; что это правильно";He convinced me that it was right
"Он убедил меня; что это было правильное решение";He convinced me that it was the right decision
Он слишком часто критикует других людей;He criticises other people too often
Он порезал палец;He cut his finger
Он решил отремонтировать свою машину;He decided to have his car repaired
Он решил отремонтировать свою машину;He decided to repair his car
Он посвятил себя служению другим людям;He dedicated himself to serving other people
Он посвятил свою жизнь помощи другим людям;He dedicated his life to helping other people
Он посвятил свою жизнь служению другим людям;He dedicated his life to serving other people
Он продемонстрировал свои знания;He demonstrated his knowledge
Он отверг все обвинения;He denied all the accusations
Он отрицал свою вину;He denied his guilt
Он это заслужил;He deserves it
Он сделал мне одолжение;He did me a favour
Он не требовал объяснений;He didn't demand an explanation
Он умер два года назад;He died two years ago
Он внезапно исчез;He disappeared suddenly
Он не одобряет эту идею;He disapproves of this idea
Он открыл этот континент;He discovered this continent
Он не заслуживает этой похвалы сейчас;He doesn't deserve this praise now
Он не любит охоту;He doesn't like hunting
Он не хочет этого делать;He doesn't want to do it
Он не хочет слушать это;He doesn't want to listen to these
Он очень глубоко нырнул;He dove very deeply
Он нарисовал очень забавную картину;He drew a very funny picture
Он уронил стакан сока;He dropped a glass of juice
Он уронил коробку;He dropped the box
Он утонул в озере;He drowned in the lake
Он вырыл яму;He dug a hole
Он вошел в комнату;He entered the room
Он не прошел тест;He failed the test
Он чувствует себя изолированным;He feels isolated
Он упал на землю и повредил руку;He fell on the ground and hurt his arm
Он починил ее велосипед;He fixed her bike
Он нашел свою вторую половину;He found his second half
"Он узнал; что";He found out that
Он основал новый бизнес;He founded a new business
Он дал мне эти деньги;He gave me this money
Он дал мне очень полезные рекомендации;He gave me very useful recommendations
Он дал мне эти деньги;He gave this money to me
Он ходит в спортзал несколько раз в неделю;He goes to the gym several times a week
Он приветствовал нас очень тепло;He greeted us very warmly
Он вырос в Соединенных Штатах;He grew up in the United States
Он должен был признаться;He had to confess
Он еще не извинился за свое грубое поведение;He hasn't apologised for his rude behaviour yet
Он еще не извинился;He hasn't apologised yet
Он еще не объяснил это;He hasn't explained this thing yet
Он еще не упомянул эту деталь;He hasn't mentioned this detail yet
Он еще не переехал в свою новую квартиру;He hasn't moved into his new flat yet
Он еще не опубликовал свою книгу;He hasn't published his book yet
Он еще не поблагодарил нас;He hasn't thanked us yet
Он еще не понял этого;He hasn't understood it yet
Он еще не проснулся;He hasn't woken up yet
Он держал ее сумку;He held her bag
"Он помог мне так много раз; когда я был за границей";He helped me so many times when I was abroad
Он немного поколебался;He hesitated a little
Он спрятался за этим зданием;He hid behind that building
Он спрятался за дверью;He hid behind the door
"Он ударил мяч; он ударил по столу";He hit the ball he hit the table
Он обнял ее;He hugged her
Он ранил ее чувства;He hurt her feelings
Он повредил руку;He hurt his arm
"Он настаивал на том; чтобы тратить меньше денег";He insisted on spending less money
Он проинструктировал нас;He instructed us
Он собирается посетить нас однажды;He intends to visit us one day
Он глупый;He is being stupid
Он кричит на него очень сердито;He is shouting at him very angrily
Он кричит на них очень сердито;He is shouting at them very angrily
Ему не разрешено выходить из дома;He isn't allowed to leave home
Ему не разрешают играть в компьютерные игры;He isn't allowed to play computer games
Он не отрицает эти обвинения;He isn't denying those accusations
Он не умирает;He isn't dying
Он не редактирует этот документ;He isn't editing this document
Он не объясняет это достаточно ясно;He isn't explaining it clearly enough
Он не объясняет нам это;He isn't explaining it to us
Он не объясняет это нам достаточно ясно;He isn't explaining it to us clearly enough
Он не смеется над этим;He isn't laughing at it
Он не пытается это понять;He isn't trying to understand it
Он не ждет тебя;He isn't waiting for you
Он прыгнул так высоко;He jumped so high
Он прыгнул очень высоко;He jumped very high
Он сдержал свое слово;He kept his word
Он поцеловал ее;He kissed her
"Он смеется; кто смеется последним";He laughs who laughs last
Он позволил ей сделать это;He let her do it
Он позволил мне сделать это;He let me do it
Он позволяет мне сделать это;He lets me do it
Он женился на ней;He married her
Он женился на ней в прошлом году;He married her last year
Он хотел поддержать наш проект;He meant to support our project
Он ввел ее в заблуждение;He misled her
Он опоздал на автобус;He missed the bus
Ему нужно оптимизировать этот процесс;He needs to optimise this process
Он никогда не жалуется;He never complains
Он предложил мне новую работу;He offered me a new job
"Он часто приходит туда позже; чем обычно";He often comes there later than usual
Он часто жалуется без причины;He often complains for no reason
Он часто жалуется по нескольким причинам;He often complains for several reasons
Он часто завидует другим людям;He often envies other people
Он часто унижает невинных людей;He often humiliates innocent people
Он часто переедает;He often overate
Он часто молится;He often prays
Он приказал не убивать его;He ordered not to kill him
Он приказал им не стрелять;He ordered them not to shoot
Он приказал им сделать это;He ordered them to do it
Он приказал им пойти туда;He ordered them to go there
Он должен ей десять тысяч долларов;He owes her ten thousand dollars
Он должен ему эти деньги;He owes him this money
Он должен мне эту вещь;He owes me this thing
Он должен мне двести долларов;He owes me two hundred dollars
Он остановился на минуту;He paused for a minute
Он периодически упоминает об этом;He periodically mentions it
Он периодически поддерживает эти проекты;He periodically supports these projects
Он позволил им уйти;He permitted them to leave
Он убедил меня сделать это;He persuaded me to do it
Он убедил меня заплатить за эту услугу;He persuaded me to pay for this service
Он позвонил мне;He phoned me
Он указал на мои ошибки;He pointed at my mistakes
"Он указал; что совершил очень большую ошибку";He pointed out that he'd made a very big mistake
Он назначил специальную диету;He prescribed a special diet
Он представил этот отчет;He presented this report
Он притворяется искренним;He pretends to be sincere
Он обещал не делать этого;He promised not to do it
"Он обещал; что сделает это";He promised that he would do it
Он обещал сделать это;He promised to do it
Он обещал сдержать свое слово;He promised to keep his word
Он обещает это;He promises it
Он предоставляет нам всю необходимую информацию;He provides us with all the necessary information
Он вытащил два стула;He pulled two chairs
Он бежал так быстро;He ran so fast
Он очень странно отреагировал на эту новость;He reacted to this news very strangely
Он ссылался на эту тему;He referred to this subject
Он отказался вкладывать свои деньги;He refused to invest his money
Он отказался одолжить ему эти деньги;He refused to lend him this money
Он отказался одолжить ему эти деньги;He refused to lend this money to him
Он отказался платить;He refused to pay
Он отказался это сказать;He refused to say it
"Он отметил; что совершил очень серьезную ошибку";He remarked that he'd made a very serious mistake
"Он отметил; что это была единственная альтернатива";He remarked that it was the only alternative
"Он отметил; что они уже объявили об этом";He remarked that they'd already announced it
Он снял кольцо;He removed his ring
Он повторил это предложение в третий раз;He repeated this sentence for the third time
Он похож на своего отца;He resembles his father
Он пересказал эту историю;He retold that story
Он сказал;He said
"Он сказал; что еще не играл в компьютерные игры";He said that he hadn't played computer games yet
"Он сказал; что уже был в Америке";He said that he'd already been to America
"Он сказал; что он уже исправил все ошибки";He said that he'd already corrected all the mistakes
"Он сказал; что он уже сделал это";He said that he'd already done it
"Он сказал; что он уже скачал эту книгу";He said that he'd already downloaded this book
"Он сказал; что уже отправил ему это";He said that he'd already sent him this
"Он сказал; что много раз был во Франции";He said that he'd been to France many times
"Он сказал; что продал свою старую машину";He said that he'd sold his old car
"Он сказал; что потратил свои последние деньги";He said that he'd spent his last money
Служил в армии в прошлом году;He served in the army last year
Он побрил усы;He shaved his moustache
Он показал феноменальный результат;He showed a phenomenal result
Он закрыл дверь;He shut the door
Он закрыл окно;He shut the window
Он все испортил;He spoilt everything
"Он заявил; что не совершил преступления";He stated that he hadn't committed a crime
"Он заявил; что она была невинна";He stated that she was innocent
"Он заявил; что они не совершали преступления";He stated that they hadn't committed a crime
Он перестал кашлять;He stopped coughing
Он вставил новый плакат;He stuck a new poster
Он вычел двадцать из пятидесяти;He subtracted twenty from fifty
Он страдает от такого грубого обращения;He suffers from such a rude treatment
Он страдает от этого лечения;He suffers from this treatment
Он поклялся говорить правду;He swore to tell the truth
Он угрожает им;He threatens them
Он угрожает это сделать;He threatens to do it
Он бросил в нее книгу;He threw a book at her
Он бросил ей книгу;He threw a book to her
Он бросил ей книгу;He threw her a book
Он сказал мне;He told me
"Он сказал мне; что он уже смотрел это видео";He told me that he'd already watched this video
"Он сказал мне; что присоединился к нашей команде";He told me that he'd joined our team
"Он сказал мне; что это уже произошло";He told me that it'd already happened
"Он сказал мне; чтобы стереть это";He told me to rub it out
"Он сказал нам; что провалил второй экзамен";He told us that he'd failed his second exam
Он сказал нам правду;He told us the truth
Он пытался соединить эти два провода;He tried to connect these two wires
Он пытался ввести меня в заблуждение;He tried to mislead me
Он обернулся;He turned back
Он обычно ведет себя очень эгоистично;He usually behaves very selfishly
"Он обычно приходит туда позже; чем обычно";He usually comes there later than usual
Он обычно все устраивает;He usually organises everything
Он посещает нас каждую неделю;He visits us every week
Он хочет эмигрировать;He wants to emigrate
Он хочет жениться;He wants to get married
Он хочет переехать в Лондон;He wants to move to London
Он хочет отдохнуть;He wants to relax
Он предупредил меня;He warned me
Он был арестован;He was arrested
Он был награжден;He was awarded
Он был вынужден сделать это;He was forced to do it
Он все больше и больше разочаровывался;He was getting more and more disappointed
Он становился все более и более нервным;He was getting more and more nervous
Он был в Америке в прошлом году;He was in America last year
Он был в Америке в прошлом году Он сказал это;He was in America last year He said it
Он слушал меня;He was listening to me
Он был убит;He was murdered
"Он стоял там; когда услышал эту новость";He was standing there when he heard that news
Он говорил и говорил;He was talking and talking
Он дрожал от страха;He was trembling with fear
"Он был очень удивлен; что он не прошел этот тест";He was very surprised that he'd failed that test
Он был ранен;He was wounded
Он умылся;He washed himself
Помыл машину;He washed his car
Он махнул мне;He waved to me
Он что-то прошептал;He whispered something
Он снял десять миллионов долларов со своего счета;He withdrew ten million dollars from his account
Он снял десять тысяч долларов со своего счета;He withdrew ten thousand dollars from his account
Он пожалеет об этом позже;He'll regret it later
Он уйдет на пенсию в следующем году;He'll retire next year
Он ведет себя глупо;He's acting stupidly
Он уже прилетел в Америку;He's already flown to America
Он уже представил этот отчет;He's already presented this report
Он уже побрился;He's already shaved
Он уже все показал;He's already shown everything
Он всегда жалуется;He's always complaining
Он всегда подбадривал меня;He's always encouraged me
Он всегда ненавидел это делать;He's always hated doing it
Он всегда владел этим бизнесом;He's always owned this business
Он всегда говорит очень неприятные вещи;He's always saying very unpleasant things
Он всегда поддерживал меня;He's always supported me
Он всегда хотел эмигрировать;He's always wanted to emigrate
Он спрашивает следующее;He's asking the following
Он доминировал в последнее время;He's been dominating lately
Он ведет себя очень эгоистично;He's behaving very selfishly
Он становится намного богаче;He's getting much richer
Он идет в спортзал;He's going to the gym
Он помог мне так много раз;He's helped me so many times
Он изолирован от реальности;He's isolated from the reality
Он просто нарисовал несколько картинок;He's just drawn several pictures
Он только что узнал всю правду;He's just found out the whole truth
Он только что упомянул об этом во второй раз;He's just mentioned it for the second time
Он просто спел свою любимую песню;He's just sung his favourite song
Он только что спел мою любимую песню;He's just sung my favourite song
Он лжет;He's lying
Он никогда не пьет водку;He's never drunk vodka
Он никогда не плавал на корабле;He's never sailed on a ship
Он плавает в озере;He's swimming in the lake
Он разговаривает по телефону;He's talking on the phone
Ему тридцать;He's thirty
Он ждет этого с нетерпением;He's waiting for it with impatience
Он ждет вас;He's waiting for you
Он уже нашел эту информацию;He'd already found this information
Он хотел бы заработать гораздо больше денег;He'd like to earn much more money
Он будет представлять нашу компанию;He'll represent our company
Его лучший друг предал его;His best friend betrayed him
Его машина сломалась;His car broke down
Его машина только что сломалась;His car has just broken down
Его враг ранил его;His enemy wounded him
Его отказ удивил меня;His refusal surprised me
Его результаты не улучшались;His results weren't getting better
Как насчет тебя?;How about you?
Как они живут на эти деньги?;How are they living on this money?
Как вы можете охарактеризовать этого человека?;How can you characterise that person?
Как вы можете охарактеризовать?;How can you characterise?
Как ты воспитывал себя?;How did you educate yourself?
Как вам удалось решить эту проблему?;How did you manage to solve this problem?
Как вы на это отреагировали?;How did you react to it?
Как мы пишем это?;How do we spell it?
Как мы пишем это?;How do we spell that?
Как мы пишем это слово?;How do we spell this word?
Как вы применяете свои знания?;How do you apply your knowledge?
Как вы воспитываете себя?;How do you educate yourself?
Как вы себя чувствуете?;How do you feel?
Как ты тренируешь свою память?;How do you train your memory?
Как вы обычно отмечаете свой день рождения?;How do you usually celebrate your birthday?
Как он отвечает на этот вопрос?;How is he answering this question?
Как долго длится один урок?;How long does one lesson last?
Как долго длится урок?;How long does the lesson last?
Сколько времени идет дождь?;How long has it been raining?
Как долго шел снег?;How long has it been snowing?
Как долго свекла я дождь?;How long has it beet I raining?
Как долго она встречается с ним?;How long has she been dating with him?
Как долго она живет одна?;How long has she been living alone?
Как долго она здесь живет?;How long has she been living here?
Как долго она нас ждет?;How long has she been waiting for us?
Как долго вы встречаетесь?;How long have you been dating?
Как долго вы этим занимаетесь?;How long have you been doing it?
Как давно ты здесь?;How long have you been here?
Как долго ты учил английский?;How long have you been learning English?
Как долго вы живете в этом месте?;How long have you been living in this place?
Как долго вы живете вместе?;How long have you been living together?
Как долго ты находишься дома?;How long have you been staying at home?
Как долго вы здесь находитесь?;How long have you been staying here?
Как долго вы остаетесь вместе?;How long have you been staying together?
Как долго ты учишься здесь?;How long have you been studying here?
Как долго вы разговариваете по телефону?;How long have you been talking on the phone?
Как долго ты учишь английский?;How long have you been teaching English?
Как долго вы меня ждали?;How long have you been waiting for me?
Как долго вы гуляли в парке?;How long have you been walking in the park?
Как долго вы смотрите этот канал?;How long have you been watching this channel?
Как долго вы смотрите это видео?;How long have you been watching this video?
Как долго ты работаешь здесь?;How long have you been working here?
Как долго вы друг друга знаете?;How long have you known each other?
Как давно вы знаете этого человека?;How long have you known this person?
Сколько я вам должен?;How much do I owe you?
Сколько ты весишь?;How much do you weigh?
Сколько это стоит?;How much does it cost?
Сколько стоит один урок английского?;How much does one English lesson cost?
Сколько стоит один урок английского?;How much is one English lesson?
Сколько денег вы получили в прошлом месяце?;How much money did you get last month?
Сколько денег вы зарабатываете?;How much money do you earn?
"Сколько мы получим; если умножим 33";How much will we get if we multiply 33
Как часто ты чистишь зубы?;How often do you brush your teeth?
Как часто ты звонишь ему?;How often do you call him?
Как часто вы жертвуете?;How often do you donate?
Как часто ты путешествуешь?;How often do you travel?
Как часто ты пользуешься интернетом?;How often do you use the internet?
Как регулярно вы практикуете свой английский?;How regularly do you practice your English?
Как вы на это отреагируете?;How will you react to it?
Спешите или мы опоздаем;Hurry up or we'll be late
Поторопись!;Hurry up!
Я принял их приглашение;I accepted their invitation
Я принял их предложение;I accepted their offer
"Я наконец достиг этой цели; но я хочу больше";I achieved this aim at last but I want more
Я восхищаюсь святыми;I admire saints
Я восхищаюсь этим человеком;I admire this person
Я согласен с тобой сейчас;I agree with you now
Я всегда с нетерпением жду следующих видео;I always wait for the next videos with impatience
Я подал заявку на работу;I applied for a job
Я одобряю это решение;I approve of this decision
Я избегаю ссор;I avoid quarrelling
Я верю тебе;I believe you
"Бьюсь об заклад; этого никогда не случится";I bet it'll never happen
"Могу поспорить; что это уже произошло";I bet that it is already happened
"Могу поспорить; что это произойдет рано или поздно";I bet that it'll happen sooner or later
Я чищу зубы два раза в день;I brush my teeth two times a day
Я могу ездить на велосипеде;I can ride a bike
Я свободно говорю по английски;I can speak English fluently
Я могу учиться усерднее;I can study harder
Я могу учиться намного усерднее;I can study much harder
Я не могу позволить себе купить новую машину;I can't afford to buy a new car
Я не могу позволить себе купить это;I can't afford to buy it
Я не могу это изменить;I can't change it
Я не могу связать эти два несчастных случая;I can't connect these two accidents
Я не могу этого предвидеть;I can't foresee it
Я не могу это игнорировать;I can't ignore it
Я не могу представить свою жизнь без;I can't imagine my life without
Я не могу представить свою жизнь без спорта;I can't imagine my life without sport
"Я не могу поднять эту коробку; она слишком тяжелая";I can't lift this box it is too heavy
